product_id,manufacturing_country,market_region,transport_mode,distance_km,alt_transport_low_carbon,alt_transport_low_carbon_note,alt_distance_km,destination_country,distance_km_raw,alt_distance_km_raw
P0001,vietnam,india,truck,3266.0,rail,Suggested lower-carbon mode (rule-based),3266.0,india,3200,3200
P0002,vietnam,southeast_asia,rail,1502.0,rail,Suggested lower-carbon mode (rule-based),1502.0,singapore,1800,1800
P0003,india,southeast_asia,ship,3624.0,ship,Suggested lower-carbon mode (rule-based),3624.0,singapore,3000,3000
P0004,china,usa_west,ship,11280.0,ship,Suggested lower-carbon mode (rule-based),11280.0,usa,10500,10500
P0005,turkey,india,ship,4460.0,ship,Suggested lower-carbon mode (rule-based),4460.0,india,4500,4500
P0006,taiwan,usa_west,ship,11847.0,ship,Suggested lower-carbon mode (rule-based),11847.0,usa,11000,11000
P0007,vietnam,southeast_asia,rail,1502.0,rail,Suggested lower-carbon mode (rule-based),1502.0,singapore,1800,1800
P0008,usa,southeast_asia,ship,14903.0,ship,Suggested lower-carbon mode (rule-based),14903.0,singapore,12500,12500
P0009,vietnam,usa_west,ship,13407.0,ship,Suggested lower-carbon mode (rule-based),13407.0,usa,12000,12000
P0010,bangladesh,southeast_asia,ship,2880.0,ship,Suggested lower-carbon mode (rule-based),2880.0,singapore,3200,3200
P0011,mexico,india,ship,14831.0,ship,Suggested lower-carbon mode (rule-based),14831.0,india,15000,15000
P0012,vietnam,southeast_asia,truck,1502.0,rail,Suggested lower-carbon mode (rule-based),1502.0,singapore,1800,1800
P0013,china,usa_west,air,11280.0,ship,Suggested lower-carbon mode (rule-based),11280.0,usa,10500,10500
P0014,india,usa_west,ship,13026.0,ship,Suggested lower-carbon mode (rule-based),13026.0,usa,13000,13000
P0015,china,usa_west,ship,11280.0,ship,Suggested lower-carbon mode (rule-based),11280.0,usa,10500,10500
P0016,china,southeast_asia,truck,3842.0,rail,Suggested lower-carbon mode (rule-based),3842.0,singapore,2500,2500
P0017,mexico,india,ship,14831.0,ship,Suggested lower-carbon mode (rule-based),14831.0,india,15000,15000
P0018,south_korea,europe_west,ship,8517.0,ship,Suggested lower-carbon mode (rule-based),8517.0,germany,8800,8800
P0019,taiwan,usa_east,ship,11847.0,ship,Suggested lower-carbon mode (rule-based),11847.0,usa,12500,12500
P0020,china,europe_west,ship,7223.0,ship,Suggested lower-carbon mode (rule-based),7223.0,germany,8000,8000
P0021,mexico,india,ship,14831.0,ship,Suggested lower-carbon mode (rule-based),14831.0,india,15000,15000
P0022,china,usa_west,ship,11280.0,ship,Suggested lower-carbon mode (rule-based),11280.0,usa,10500,10500
P0023,vietnam,europe_west,ship,9329.0,ship,Suggested lower-carbon mode (rule-based),9329.0,germany,9500,9500
P0024,mexico,india,air,14831.0,ship,Suggested lower-carbon mode (rule-based),14831.0,india,15000,15000
P0025,china,southeast_asia,truck,3842.0,rail,Suggested lower-carbon mode (rule-based),3842.0,singapore,2500,2500
P0026,south_korea,europe_west,ship,8517.0,ship,Suggested lower-carbon mode (rule-based),8517.0,germany,8800,8800
P0027,india,india,truck,0.0,rail,Suggested lower-carbon mode (rule-based),0.0,india,800,800
P0028,bangladesh,europe_west,air,7289.0,ship,Suggested lower-carbon mode (rule-based),7289.0,germany,7600,7600
P0029,china,usa_west,ship,11280.0,ship,Suggested lower-carbon mode (rule-based),11280.0,usa,10500,10500
P0030,vietnam,europe_west,ship,9329.0,ship,Suggested lower-carbon mode (rule-based),9329.0,germany,9500,9500
P0031,mexico,usa_west,truck,1840.0,rail,Suggested lower-carbon mode (rule-based),1840.0,usa,2200,2200
P0032,south_korea,usa_east,ship,10295.0,ship,Suggested lower-carbon mode (rule-based),10295.0,usa,12000,12000
P0033,vietnam,usa_west,ship,13407.0,ship,Suggested lower-carbon mode (rule-based),13407.0,usa,12000,12000
P0034,south_korea,usa_east,ship,10295.0,ship,Suggested lower-carbon mode (rule-based),10295.0,usa,12000,12000
