product_id,product_name,category,brand,manufacturing_country,market_region,transport_mode,distance_km,unit_weight_kg,material_1,material_share_1,material_2,material_share_2,manufacturing_energy_kwh,packaging_type,recycled_content_pct,certification,price_usd,co2e_total_kg,co2e_material_kg,co2e_manufacturing_kg,co2e_transport_kg,co2e_packaging_kg,climate_score,destination_country,distance_km_raw
P0001,CottonCloud T Shirt,t_shirt,CottonCloud,vietnam,india,truck,3266.0,0.297,recycled_polyester,0.622,organic_cotton,0.378,0.76,cardboard_box,16.6,bluesign,38.52,3.699,0.734,2.318,0.114,0.25,D,india,3200
P0002,StepWise Sneakers,sneakers,StepWise,vietnam,southeast_asia,rail,1502.0,1.075,polyester,0.837,recycled_polyester,0.163,3.41,cardboard_box,19.0,none,56.55,9.336,5.474,3.776,0.058,0.25,D,singapore,1800
P0003,StepWise Sneakers,sneakers,StepWise,india,southeast_asia,ship,3624.0,0.69,polyester,0.736,recycled_polyester,0.264,2.53,cardboard_box,23.8,none,92.49,7.225,3.34,3.771,0.031,0.25,C,singapore,3000
P0004,StepWise Sneakers,sneakers,StepWise,china,usa_west,ship,11280.0,0.807,polyester,0.732,leather,0.268,3.17,cardboard_box,65.5,bluesign,62.68,11.105,6.493,4.165,0.127,0.25,D,usa,10500
P0005,EcoThread T Shirt,t_shirt,EcoThread,turkey,india,ship,4460.0,0.276,polyester,0.629,recycled_polyester,0.371,1.08,cardboard_box,47.4,bluesign,28.56,3.355,1.262,1.943,0.019,0.25,C,india,4500
P0006,ZenPhone Smartphone,smartphone,ZenPhone,taiwan,usa_west,ship,11847.0,0.195,aluminum,0.712,silicon_chip,0.288,4.35,cardboard_box,21.2,none,746.71,7.887,4.124,3.775,0.032,0.25,D,usa,11000
P0007,StreetPulse Sneakers,sneakers,StreetPulse,vietnam,southeast_asia,rail,1502.0,0.689,polyester,0.617,rubber,0.383,2.81,cardboard_box,54.2,energy_star,71.5,6.661,3.209,3.446,0.037,0.25,B,singapore,1800
P0008,HydroPop Water Bottle,water_bottle,HydroPop,usa,southeast_asia,ship,14903.0,0.032,recycled_plastic_pet,1.0,,0.0,0.37,recycled_cardboard_box,31.9,none,4.12,1.502,0.054,1.344,0.006,0.16,A,singapore,12500
P0009,ZenPhone Smartphone,smartphone,ZenPhone,vietnam,usa_west,ship,13407.0,0.244,plastic_pet,0.842,glass,0.158,3.16,cardboard_box,4.7,none,698.41,4.251,0.601,3.638,0.044,0.25,A,usa,12000
P0010,UrbanBasic T Shirt,t_shirt,UrbanBasic,bangladesh,southeast_asia,ship,2880.0,0.299,polyester,0.622,recycled_polyester,0.378,0.8,plastic_wrap,27.4,none,37.42,3.71,1.362,2.296,0.014,0.18,D,singapore,3200
P0011,PureSip Water Bottle,water_bottle,PureSip,mexico,india,ship,14831.0,0.046,plastic_pet,1.0,,0.0,0.31,plastic_wrap,37.3,none,4.69,1.763,0.124,1.536,0.01,0.18,C,india,15000
P0012,RunNova Sneakers,sneakers,RunNova,vietnam,southeast_asia,truck,1502.0,0.826,recycled_polyester,0.846,leather,0.154,2.08,none,13.6,none,103.85,6.903,4.004,3.044,0.178,0.0,C,singapore,1800
P0013,EcoSole Sneakers,sneakers,EcoSole,china,usa_west,air,11280.0,0.905,leather,0.846,rubber,0.154,2.95,recycled_cardboard_box,8.9,none,113.55,25.3,11.944,4.029,11.403,0.16,F,usa,10500
P0014,RunNova Sneakers,sneakers,RunNova,india,usa_west,ship,13026.0,0.915,rubber,0.833,recycled_polyester,0.167,2.85,plastic_wrap,35.1,none,110.43,7.742,2.974,3.995,0.178,0.18,C,usa,13000
P0015,EcoThread T Shirt,t_shirt,EcoThread,china,usa_west,ship,11280.0,0.191,cotton,0.737,polyester,0.263,1.14,none,40.3,fair_trade,22.82,3.572,0.572,2.907,0.03,0.0,D,usa,10500
P0016,BlueRiver Jeans,jeans,BlueRiver,china,southeast_asia,truck,3842.0,0.645,cotton,0.769,organic_cotton,0.231,2.31,cardboard_box,50.0,none,87.45,5.336,1.28,3.632,0.194,0.25,D,singapore,2500
P0017,StoneWash Jeans,jeans,StoneWash,mexico,india,ship,14831.0,0.618,organic_cotton,0.879,cotton,0.121,1.97,cardboard_box,22.5,none,44.02,3.439,1.026,2.267,0.139,0.25,A,india,15000
P0018,LeafCell Smartphone,smartphone,LeafCell,south_korea,europe_west,ship,8517.0,0.164,plastic_pet,0.9,recycled_aluminum,0.1,3.17,cardboard_box,25.4,none,1162.51,3.643,0.481,2.758,0.022,0.25,A,germany,8800
P0019,TerraMobile Smartphone,smartphone,TerraMobile,taiwan,usa_east,ship,11847.0,0.193,silicon_chip,0.712,plastic_pet,0.288,5.71,cardboard_box,14.5,none,800.52,10.905,6.334,4.455,0.036,0.25,E,usa,12500
P0020,EcoThread T Shirt,t_shirt,EcoThread,china,europe_west,ship,7223.0,0.293,cotton,0.823,recycled_polyester,0.177,1.0,plastic_wrap,7.1,fsc,36.72,3.67,0.662,2.82,0.035,0.18,D,germany,8000
P0021,StoneWash Jeans,jeans,StoneWash,mexico,india,ship,14831.0,0.882,cotton,0.842,organic_cotton,0.158,2.15,plastic_wrap,23.3,bluesign,94.41,4.528,1.783,2.346,0.198,0.18,C,india,15000
P0022,AquaGo Water Bottle,water_bottle,AquaGo,china,usa_west,ship,11280.0,0.044,plastic_pet,1.0,,0.0,0.26,recycled_cardboard_box,0.0,gots,3.39,2.627,0.119,2.361,0.007,0.16,D,usa,10500
P0023,GreenLoop T Shirt,t_shirt,GreenLoop,vietnam,europe_west,ship,9329.0,0.267,recycled_polyester,0.814,polyester,0.186,0.76,recycled_cardboard_box,30.6,none,19.97,3.642,0.925,2.318,0.038,0.16,D,germany,9500
P0024,RunNova Sneakers,sneakers,RunNova,mexico,india,air,14831.0,0.775,recycled_polyester,0.885,leather,0.115,3.49,plastic_wrap,34.1,none,120.52,19.467,3.395,2.936,13.95,0.18,F,india,15000
P0025,ZenPhone Smartphone,smartphone,ZenPhone,china,southeast_asia,truck,3842.0,0.19,lithium_ion_battery,0.712,recycled_plastic_pet,0.288,6.17,recycled_cardboard_box,4.1,none,853.67,7.636,1.716,6.025,0.057,0.16,D,singapore,2500
P0026,SparkOne Smartphone,smartphone,SparkOne,south_korea,europe_west,ship,8517.0,0.185,silicon_chip,0.62,recycled_plastic_pet,0.38,6.27,recycled_cardboard_box,22.6,none,1160.82,9.728,5.281,4.184,0.024,0.16,E,germany,8800
P0027,StoneWash Jeans,jeans,StoneWash,india,india,truck,0.0,0.749,cotton,0.719,organic_cotton,0.281,1.6,plastic_wrap,6.2,energy_star,94.38,4.777,1.468,3.12,0.072,0.18,C,india,800
P0028,EcoThread T Shirt,t_shirt,EcoThread,bangladesh,europe_west,air,7289.0,0.188,polyester,0.649,cotton,0.351,0.64,recycled_cardboard_box,28.5,fsc,32.88,5.038,0.81,2.197,1.715,0.16,F,germany,7600
P0029,LeafCell Smartphone,smartphone,LeafCell,china,usa_west,ship,11280.0,0.241,aluminum,0.605,recycled_plastic_pet,0.395,6.04,cardboard_box,9.2,none,1253.99,8.511,1.839,5.945,0.038,0.25,D,usa,10500
P0030,SparkOne Smartphone,smartphone,SparkOne,vietnam,europe_west,ship,9329.0,0.207,lithium_ion_battery,0.891,plastic_pet,0.109,4.88,recycled_cardboard_box,19.8,fair_trade,798.22,7.627,2.274,4.584,0.029,0.16,D,germany,9500
P0031,StoneWash Jeans,jeans,StoneWash,mexico,usa_west,truck,1840.0,0.611,organic_cotton,0.768,cotton,0.232,2.79,cardboard_box,12.3,none,100.16,4.32,1.048,2.628,0.161,0.25,B,usa,2200
P0032,SkyCompute Laptop,laptop,SkyCompute,south_korea,usa_east,ship,10295.0,1.473,steel,0.62,plastic_pet,0.38,10.28,cardboard_box,48.6,bluesign,791.35,9.979,3.612,6.029,0.265,0.25,A,usa,12000
P0033,ZenPhone Smartphone,smartphone,ZenPhone,vietnam,usa_west,ship,13407.0,0.182,plastic_pet,0.736,aluminum,0.264,3.05,recycled_cardboard_box,26.1,bluesign,554.77,4.635,0.914,3.577,0.033,0.16,B,usa,12000
P0034,TerraBook Laptop,laptop,TerraBook,south_korea,usa_east,ship,10295.0,1.234,lithium_ion_battery,0.669,silicon_chip,0.331,12.01,cardboard_box,15.6,fsc,1033.12,34.768,28.287,6.825,0.222,0.25,D,usa,12000
P0035,BlueRiver Jeans,jeans,BlueRiver,china,india,truck,2842.0,0.693,organic_cotton,0.764,cotton,0.236,2.54,recycled_cardboard_box,29.8,none,38.68,5.816,1.191,3.775,0.316,0.16,E,india,3800
P0036,GreenLoop T Shirt,t_shirt,GreenLoop,bangladesh,usa_east,ship,12894.0,0.155,organic_cotton,0.866,cotton,0.134,0.76,recycled_cardboard_box,15.6,none,13.6,2.685,0.258,2.271,0.034,0.16,B,usa,14500
P0037,StreetPulse Sneakers,sneakers,StreetPulse,mexico,southeast_asia,ship,16035.0,0.909,rubber,0.735,polyester,0.265,3.28,none,42.3,gots,137.02,6.231,3.53,2.843,0.198,0.0,A,singapore,14500
P0038,EarthFit Jeans,jeans,EarthFit,turkey,india,air,4460.0,0.561,cotton,0.617,organic_cotton,0.383,1.66,cardboard_box,34.0,none,118.23,6.119,1.071,2.181,3.029,0.25,E,india,4500
P0039,CottonCloud T Shirt,t_shirt,CottonCloud,mexico,india,ship,14831.0,0.155,polyester,0.896,organic_cotton,0.104,1.11,plastic_wrap,28.5,none,36.13,3.022,0.79,1.888,0.035,0.18,C,india,15000
P0040,SparkOne Smartphone,smartphone,SparkOne,vietnam,usa_east,ship,13407.0,0.171,lithium_ion_battery,0.646,aluminum,0.354,4.93,recycled_cardboard_box,16.8,energy_star,911.5,6.467,2.022,4.611,0.035,0.16,C,usa,13500
P0041,UrbanBasic T Shirt,t_shirt,UrbanBasic,bangladesh,usa_east,air,12894.0,0.275,recycled_polyester,0.844,polyester,0.156,1.12,plastic_wrap,31.1,none,14.19,7.056,0.932,2.494,4.785,0.18,F,usa,14500
P0042,TerraBook Laptop,laptop,TerraBook,taiwan,usa_east,ship,11847.0,1.695,lithium_ion_battery,0.68,recycled_aluminum,0.32,12.32,recycled_cardboard_box,32.2,none,896.42,25.83,16.543,7.76,0.318,0.16,D,usa,12500
P0043,NovaByte Laptop,laptop,NovaByte,usa,southeast_asia,ship,14903.0,1.833,aluminum,0.803,lithium_ion_battery,0.197,9.83,cardboard_box,32.6,energy_star,695.33,27.42,21.26,5.034,0.344,0.25,D,singapore,12500
P0044,TerraMobile Smartphone,smartphone,TerraMobile,south_korea,europe_west,ship,8517.0,0.168,glass,0.809,recycled_plastic_pet,0.191,3.49,recycled_cardboard_box,0.0,none,1029.89,3.457,0.218,2.905,0.022,0.16,A,germany,8800
P0045,StepWise Sneakers,sneakers,StepWise,china,india,truck,2842.0,0.805,rubber,0.626,polyester,0.374,3.17,cardboard_box,28.3,fair_trade,79.42,8.581,3.319,4.165,0.367,0.25,C,india,3800
P0046,AquaGo Water Bottle,water_bottle,AquaGo,mexico,usa_east,truck,1840.0,0.045,plastic_pet,1.0,,0.0,0.2,cardboard_box,22.1,energy_star,4.68,1.934,0.122,1.488,0.017,0.25,C,usa,3200
P0047,StepWise Sneakers,sneakers,StepWise,mexico,southeast_asia,ship,16035.0,0.699,polyester,0.718,leather,0.282,3.31,cardboard_box,22.4,fsc,74.94,9.186,5.717,2.856,0.152,0.25,D,singapore,14500
P0048,StoneWash Jeans,jeans,StoneWash,china,india,ship,2842.0,0.875,cotton,0.82,organic_cotton,0.18,2.63,cardboard_box,28.3,fair_trade,72.3,5.908,1.759,3.831,0.05,0.25,E,india,3800
P0049,StoneWash Jeans,jeans,StoneWash,vietnam,india,air,3266.0,0.76,organic_cotton,0.766,cotton,0.234,2.47,plastic_wrap,9.3,none,116.61,7.301,1.305,3.258,2.918,0.18,F,india,3200
P0050,ClearSpring Water Bottle,water_bottle,ClearSpring,china,usa_east,air,11280.0,0.036,plastic_pet,1.0,,0.0,0.48,recycled_cardboard_box,0.0,none,4.33,2.858,0.097,2.498,0.518,0.16,E,usa,12000
P0051,DenimForge Jeans,jeans,DenimForge,turkey,india,ship,4460.0,0.687,organic_cotton,0.677,cotton,0.323,1.69,plastic_wrap,0.0,bluesign,73.36,3.202,1.21,2.193,0.046,0.18,A,india,4500
P0052,TerraMobile Smartphone,smartphone,TerraMobile,china,europe_west,ship,7223.0,0.221,glass,0.624,aluminum,0.376,6.44,cardboard_box,0.0,fair_trade,1290.59,7.762,1.121,6.193,0.027,0.25,D,germany,8000
P0053,DenimForge Jeans,jeans,DenimForge,vietnam,usa_west,ship,13407.0,0.536,organic_cotton,0.735,cotton,0.265,1.9,cardboard_box,39.0,none,91.23,4.424,0.929,2.945,0.096,0.25,C,usa,12000
P0054,RunNova Sneakers,sneakers,RunNova,vietnam,europe_west,ship,9329.0,0.701,recycled_polyester,0.879,leather,0.121,2.03,plastic_wrap,11.6,fair_trade,56.7,6.431,3.121,3.016,0.1,0.18,B,germany,9500
P0055,DenimForge Jeans,jeans,DenimForge,vietnam,usa_east,ship,13407.0,0.845,organic_cotton,0.887,cotton,0.113,2.54,cardboard_box,0.0,fair_trade,70.12,4.884,1.4,3.297,0.171,0.25,D,usa,13500
P0056,SkyCompute Laptop,laptop,SkyCompute,taiwan,europe_west,ship,9296.0,1.941,silicon_chip,0.847,lithium_ion_battery,0.153,13.16,recycled_cardboard_box,15.3,none,1213.55,89.481,77.545,8.18,0.277,0.16,F,germany,9500
P0057,EarthFit Jeans,jeans,EarthFit,india,europe_west,ship,6540.0,0.722,organic_cotton,0.624,cotton,0.376,2.41,plastic_wrap,20.1,none,50.07,5.227,1.291,3.687,0.076,0.18,D,germany,7000
P0058,SkyCompute Laptop,laptop,SkyCompute,china,usa_west,ship,11280.0,2.194,silicon_chip,0.892,plastic_pet,0.108,8.76,recycled_cardboard_box,18.5,fair_trade,1116.61,96.929,88.707,7.631,0.346,0.16,F,usa,10500
P0059,StoneWash Jeans,jeans,StoneWash,china,india,truck,2842.0,0.754,cotton,0.885,organic_cotton,0.115,2.62,plastic_wrap,24.2,none,83.85,5.762,1.54,3.824,0.344,0.18,E,india,3800
P0060,StoneWash Jeans,jeans,StoneWash,mexico,usa_west,rail,1840.0,0.551,organic_cotton,0.805,cotton,0.195,1.82,plastic_wrap,13.8,none,81.85,3.118,0.935,2.201,0.036,0.18,A,usa,2200
P0061,TerraBook Laptop,laptop,TerraBook,china,europe_west,ship,7223.0,1.633,recycled_plastic_pet,0.62,steel,0.38,8.14,recycled_cardboard_box,26.2,none,1232.28,10.105,3.148,7.247,0.196,0.16,A,germany,8000
P0062,SparkOne Smartphone,smartphone,SparkOne,vietnam,usa_east,ship,13407.0,0.243,plastic_pet,0.638,glass,0.362,6.19,cardboard_box,33.2,none,863.93,6.271,0.524,5.305,0.049,0.25,C,usa,13500
P0063,ZenPhone Smartphone,smartphone,ZenPhone,taiwan,southeast_asia,truck,3100.0,0.21,silicon_chip,0.78,lithium_ion_battery,0.22,5.46,recycled_cardboard_box,0.0,gots,627.99,13.683,7.925,4.33,0.048,0.16,F,singapore,1900
P0064,CottonCloud T Shirt,t_shirt,CottonCloud,vietnam,southeast_asia,truck,1502.0,0.293,polyester,0.711,recycled_polyester,0.289,0.68,recycled_cardboard_box,50.6,none,15.86,4.311,1.4,2.274,0.063,0.16,F,singapore,1800
P0065,NovaByte Laptop,laptop,NovaByte,south_korea,usa_west,air,10295.0,1.543,aluminum,0.768,plastic_pet,0.232,9.73,cardboard_box,53.6,none,1003.34,39.642,14.594,5.776,19.442,0.25,E,usa,10500
P0066,AquaGo Water Bottle,water_bottle,AquaGo,mexico,usa_east,ship,1840.0,0.051,recycled_plastic_pet,1.0,,0.0,0.31,cardboard_box,15.2,energy_star,3.47,1.927,0.087,1.536,0.002,0.25,C,usa,3200
P0067,SparkOne Smartphone,smartphone,SparkOne,taiwan,southeast_asia,truck,3100.0,0.216,aluminum,0.845,recycled_aluminum,0.155,3.08,cardboard_box,22.2,fair_trade,789.37,5.679,2.266,3.14,0.049,0.25,C,singapore,1900
P0068,CottonCloud T Shirt,t_shirt,CottonCloud,mexico,usa_east,air,1840.0,0.276,cotton,0.68,polyester,0.32,0.76,none,22.0,fsc,21.54,3.71,0.88,1.734,1.06,0.0,D,usa,3200
P0069,TerraBook Laptop,laptop,TerraBook,taiwan,india,truck,4303.0,1.878,recycled_plastic_pet,0.68,lithium_ion_battery,0.32,13.96,cardboard_box,44.6,none,1330.37,19.67,9.382,8.58,0.969,0.25,C,india,4300
P0070,TerraBook Laptop,laptop,TerraBook,taiwan,southeast_asia,truck,3100.0,2.062,plastic_pet,0.721,recycled_aluminum,0.279,13.47,plastic_wrap,36.3,energy_star,1505.26,16.749,6.891,8.335,0.47,0.18,C,singapore,1900
P0071,GreenLoop T Shirt,t_shirt,GreenLoop,india,usa_west,ship,13026.0,0.188,recycled_polyester,0.702,cotton,0.298,0.81,cardboard_box,27.6,none,42.96,3.139,0.514,2.567,0.037,0.25,C,usa,13000
P0072,NovaByte Laptop,laptop,NovaByte,south_korea,india,ship,4915.0,2.149,steel,0.689,aluminum,0.311,9.91,recycled_cardboard_box,0.0,none,1016.42,19.106,11.091,5.859,0.152,0.16,C,india,4700
P0073,CottonCloud T Shirt,t_shirt,CottonCloud,vietnam,southeast_asia,truck,1502.0,0.281,polyester,0.86,organic_cotton,0.14,0.65,cardboard_box,18.7,fsc,28.57,3.933,1.392,2.258,0.061,0.25,E,singapore,1800
P0074,AquaGo Water Bottle,water_bottle,AquaGo,india,europe_west,ship,6540.0,0.046,plastic_pet,1.0,,0.0,0.4,recycled_cardboard_box,24.1,none,3.09,2.42,0.124,2.28,0.005,0.16,D,germany,7000
P0075,SparkOne Smartphone,smartphone,SparkOne,china,usa_east,air,11280.0,0.147,silicon_chip,0.854,lithium_ion_battery,0.146,4.85,recycled_cardboard_box,35.9,none,471.69,15.259,5.907,5.207,2.117,0.16,F,usa,12000
P0076,StepWise Sneakers,sneakers,StepWise,china,india,truck,2842.0,0.618,recycled_polyester,0.89,polyester,0.11,2.21,recycled_cardboard_box,21.9,none,113.8,5.718,2.024,3.57,0.282,0.16,A,india,3800
P0077,BlueRiver Jeans,jeans,BlueRiver,mexico,usa_east,ship,1840.0,0.543,cotton,0.67,organic_cotton,0.33,1.86,cardboard_box,47.4,none,69.03,3.54,1.051,2.218,0.026,0.25,A,usa,3200
P0078,SkyCompute Laptop,laptop,SkyCompute,china,india,truck,2842.0,2.16,aluminum,0.848,silicon_chip,0.152,10.57,recycled_cardboard_box,19.0,none,1080.27,43.765,35.839,8.753,0.985,0.16,E,india,3800
P0079,PulseTech Laptop,laptop,PulseTech,china,usa_west,ship,11280.0,1.618,plastic_pet,0.614,steel,0.386,9.35,cardboard_box,0.0,fsc,1511.6,13.526,4.119,7.997,0.255,0.25,B,usa,10500
P0080,ClearSpring Water Bottle,water_bottle,ClearSpring,usa,india,ship,13026.0,0.06,plastic_pet,1.0,,0.0,0.41,plastic_wrap,10.7,none,3.76,1.44,0.162,1.36,0.012,0.18,A,india,13000
P0081,TerraMobile Smartphone,smartphone,TerraMobile,vietnam,europe_west,ship,9329.0,0.242,lithium_ion_battery,0.64,glass,0.36,4.88,recycled_cardboard_box,56.4,energy_star,938.39,6.884,1.963,4.584,0.034,0.16,C,germany,9500
P0082,EcoThread T Shirt,t_shirt,EcoThread,mexico,india,ship,14831.0,0.198,organic_cotton,0.686,cotton,0.314,1.09,plastic_wrap,30.8,fair_trade,23.23,2.22,0.348,1.88,0.045,0.18,A,india,15000
P0083,SkyCompute Laptop,laptop,SkyCompute,usa,usa_west,truck,0.0,1.572,plastic_pet,0.628,steel,0.372,13.53,cardboard_box,23.5,none,1482.98,11.997,4.01,6.477,0.226,0.25,A,usa,1200
P0084,TerraBook Laptop,laptop,TerraBook,taiwan,usa_east,ship,11847.0,2.155,aluminum,0.889,silicon_chip,0.111,12.94,cardboard_box,30.5,none,559.59,46.783,32.796,8.07,0.404,0.25,E,usa,12500
P0085,StepWise Sneakers,sneakers,StepWise,china,southeast_asia,air,3842.0,1.013,leather,0.809,polyester,0.191,3.5,recycled_cardboard_box,18.5,fair_trade,141.92,22.026,13.357,4.37,3.039,0.16,F,singapore,2500
P0086,SkyCompute Laptop,laptop,SkyCompute,taiwan,southeast_asia,truck,3100.0,2.126,plastic_pet,0.764,aluminum,0.236,10.47,cardboard_box,8.2,none,1611.66,16.912,10.155,6.835,0.485,0.25,C,singapore,1900
P0087,GreenLoop T Shirt,t_shirt,GreenLoop,mexico,europe_west,ship,9448.0,0.165,polyester,0.753,recycled_polyester,0.247,0.88,plastic_wrap,28.4,fair_trade,23.17,2.993,0.806,1.787,0.022,0.18,C,germany,9000
P0088,PureSip Water Bottle,water_bottle,PureSip,usa,usa_west,truck,0.0,0.069,plastic_pet,1.0,,0.0,0.34,plastic_wrap,23.9,energy_star,2.07,1.935,0.186,1.333,0.01,0.18,C,usa,1200
P0089,EcoThread T Shirt,t_shirt,EcoThread,mexico,usa_west,rail,1840.0,0.215,organic_cotton,0.882,recycled_polyester,0.118,0.64,recycled_cardboard_box,36.3,gots,23.55,2.271,0.38,1.682,0.014,0.16,A,usa,2200
P0090,UrbanBasic T Shirt,t_shirt,UrbanBasic,turkey,usa_east,ship,10074.0,0.273,cotton,0.832,organic_cotton,0.168,1.18,none,48.9,none,20.98,2.52,0.55,1.984,0.041,0.0,A,usa,10000
